Job Title,Company Name,Location,Time Posted,Job Description,num_applicants,Seniority level,Employment type,Job function,Industries,URL
Executive - Recruitment,Cognizant,"Bangalore Urban, Karnataka, India",2 weeks ago,,Over 200 applicants,Entry level,Full-time,Human Resources,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/executive-recruitment-at-cognizant-4138163199?trk=public_jobs_topcard-title
Accounts Payable Specialist,Cognizant,"Thane, Maharashtra, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Accounting/Auditing,Financial Services,https://in.linkedin.com/jobs/view/accounts-payable-specialist-at-cognizant-4158449083?trk=public_jobs_topcard-title
Data Analyst,Cognizant,"Bangalore Urban, Karnataka, India",2 weeks ago,,Over 200 applicants,Entry level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/data-analyst-at-cognizant-4159393406?trk=public_jobs_topcard-title
QA Analyst Associate,Cognizant,"Pune, Maharashtra, India",3 weeks ago,,Over 200 applicants,Entry level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/qa-analyst-associate-at-cognizant-4137290936?trk=public_jobs_topcard-title
Program Manager,Cognizant,Greater Kolkata Area,2 weeks ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/program-manager-at-cognizant-4165755261?trk=public_jobs_topcard-title
React JS,Cognizant,"Kochi, Kerala, India",2 weeks ago,,Be among the first 25 applicants,Not Applicable,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/react-js-at-cognizant-4159389817?trk=public_jobs_topcard-title
Selenium Test Engineer,Cognizant,"Chennai, Tamil Nadu, India",1 week ago,,Over 200 applicants,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/selenium-test-engineer-at-cognizant-4174259024?trk=public_jobs_topcard-title
Selenium Test Engineer,Cognizant,"Chennai, Tamil Nadu, India",1 week ago,,Over 200 applicants,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/selenium-test-engineer-at-cognizant-4174254490?trk=public_jobs_topcard-title
General Manager - Operations,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Not Available,Executive,Full-time,Management and Manufacturing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/general-manager-operations-at-cognizant-4142231832?trk=public_jobs_topcard-title
Purchasing Specialist,Cognizant,"Thane, Maharashtra, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Purchasing and Supply Chain,Financial Services,https://in.linkedin.com/jobs/view/purchasing-specialist-at-cognizant-4158454245?trk=public_jobs_topcard-title
Purchasing Specialist,Cognizant,"Thane, Maharashtra, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Purchasing and Supply Chain,Financial Services,https://in.linkedin.com/jobs/view/purchasing-specialist-at-cognizant-4158454245?trk=public_jobs_topcard-title
Process Executive - Data,Cognizant,Greater Kolkata Area,1 week ago,,Over 200 applicants,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-data-at-cognizant-4170746694?trk=public_jobs_topcard-title
Business Development,Cognizant,"Noida, Uttar Pradesh, India",Not Available,,Over 200 applicants,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-development-at-cognizant-4158495595?trk=public_jobs_topcard-title
Data Analyst,Cognizant,Greater Kolkata Area,1 week ago,,Over 200 applicants,Entry level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/data-analyst-at-cognizant-4175081594?trk=public_jobs_topcard-title
Vice President - Head Global Supply Chain,Cognizant,"Chennai, Tamil Nadu, India",3 weeks ago,,Not Available,Executive,Full-time,Management and Manufacturing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/vice-president-head-global-supply-chain-at-cognizant-4144685239?trk=public_jobs_topcard-title
Process Executive - Voice,Cognizant,"Hyderabad, Telangana, India",2 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-voice-at-cognizant-4166365926?trk=public_jobs_topcard-title
Medical Writer,Cognizant,"Chennai, Tamil Nadu, India",1 week ago,,Over 200 applicants,Entry level,Full-time,"Marketing, Public Relations, and Writing/Editing",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/medical-writer-at-cognizant-4168298717?trk=public_jobs_topcard-title
Deputy General Manager,Cognizant,Mumbai Metropolitan Region,3 weeks ago,,Over 200 applicants,Director,Full-time,Management and Manufacturing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/deputy-general-manager-at-cognizant-4123851589?trk=public_jobs_topcard-title
Senior Accounting Analyst,Cognizant,"Thane, Maharashtra, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Accounting/Auditing,Financial Services,https://in.linkedin.com/jobs/view/senior-accounting-analyst-at-cognizant-4158449713?trk=public_jobs_topcard-title
Purchasing Team Leader,Cognizant,"Thane, Maharashtra, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Purchasing and Supply Chain,Financial Services,https://in.linkedin.com/jobs/view/purchasing-team-leader-at-cognizant-4156150555?trk=public_jobs_topcard-title
Associate,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Not Available,Entry level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/associate-at-cognizant-4123336977?trk=public_jobs_topcard-title
Process Executive - Data,Cognizant,Greater Kolkata Area,3 weeks ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-data-at-cognizant-4158586375?trk=public_jobs_topcard-title
Cognizant hiring for Selenium Testing,Cognizant,"Chennai, Tamil Nadu, India",1 week ago,,Over 200 applicants,Entry level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/cognizant-hiring-for-selenium-testing-at-cognizant-4174255422?trk=public_jobs_topcard-title
Sr. Business Analyst,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/sr-business-analyst-at-cognizant-4143152114?trk=public_jobs_topcard-title
Process Executive-CDM/PV,Cognizant,Greater Kolkata Area,5 days ago,,Over 200 applicants,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-cdm-pv-at-cognizant-4177736538?trk=public_jobs_topcard-title
Project Manager,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/project-manager-at-cognizant-4126307638?trk=public_jobs_topcard-title
Jr. Online Analyst - CM,Cognizant,"Bangalore Urban, Karnataka, India",2 days ago,,Over 200 applicants,Entry level,Full-time,Marketing and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/jr-online-analyst-cm-at-cognizant-4179404846?trk=public_jobs_topcard-title
Business Development,Cognizant,"Bangalore Urban, Karnataka, India",1 week ago,,Over 200 applicants,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-development-at-cognizant-4174441327?trk=public_jobs_topcard-title
Cognizant Hiring for Manual & Automation Associate,Cognizant,"Bangalore Urban, Karnataka, India",1 week ago,,Over 200 applicants,Entry level,Full-time,Human Resources,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/cognizant-hiring-for-manual-automation-associate-at-cognizant-4174259007?trk=public_jobs_topcard-title
Jr. Online Analyst - CM,Cognizant,"Bangalore Urban, Karnataka, India",4 days ago,,Over 200 applicants,Entry level,Full-time,Marketing and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/jr-online-analyst-cm-at-cognizant-4178873067?trk=public_jobs_topcard-title
Jr. Analyst - Operational Exc,Cognizant,"Chennai, Tamil Nadu, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,Management and Manufacturing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/jr-analyst-operational-exc-at-cognizant-4149146273?trk=public_jobs_topcard-title
Cognizant hiring for Selenium testing,Cognizant,"Chennai, Tamil Nadu, India",1 week ago,,Over 200 applicants,Entry level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/cognizant-hiring-for-selenium-testing-at-cognizant-4174258082?trk=public_jobs_topcard-title
Cognizant hiring for Selenium Testing,Cognizant,"Chennai, Tamil Nadu, India",1 week ago,,Not Available,Entry level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/cognizant-hiring-for-selenium-testing-at-cognizant-4174255443?trk=public_jobs_topcard-title
Associate,Cognizant,Mumbai Metropolitan Region,3 weeks ago,,Not Available,Entry level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/associate-at-cognizant-4145598452?trk=public_jobs_topcard-title
"Quality Engineer - Selenium, Core Java",Cognizant,"Pune, Maharashtra, India",1 week ago,,Over 200 applicants,Entry level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/quality-engineer-selenium-core-java-at-cognizant-4174254476?trk=public_jobs_topcard-title
Program Director,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Over 200 applicants,Director,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/program-director-at-cognizant-4151413864?trk=public_jobs_topcard-title
Business Analyst,Cognizant,"Pune, Maharashtra, India",2 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-analyst-at-cognizant-4162165065?trk=public_jobs_topcard-title
Program Manager,Cognizant,"Hyderabad, Telangana, India",5 days ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/program-manager-at-cognizant-4152622307?trk=public_jobs_topcard-title
Senior Associate,Cognizant,"Hyderabad, Telangana, India",2 weeks ago,,Not Available,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-associate-at-cognizant-4159723785?trk=public_jobs_topcard-title
Business Associate,Cognizant,Greater Kolkata Area,2 weeks ago,,Not Available,Entry level,Full-time,Administrative,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-associate-at-cognizant-4165749746?trk=public_jobs_topcard-title
Business Associate,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Over 200 applicants,Entry level,Full-time,Administrative,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-associate-at-cognizant-4036792005?trk=public_jobs_topcard-title
Deputy General Manager,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Not Available,Director,Full-time,Management and Manufacturing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/deputy-general-manager-at-cognizant-4142230951?trk=public_jobs_topcard-title
